//Data set paper: A fuzzy K-Means algorithm based on Fisher distribution for the identification of rock discontinuity sets 

dip	direction
20	240
32	175
32	180
28	180
38	150
19	210
10	130
38	190
32	180
48	180
25	155
42	155
46	180
24	150
45	110
20	70
48	150
45	90
60	155
50	140
40	140
40	150
60	145
20	130
30	180
20	130
25	120
40	90
30	195
30	160
52	190
40	160
32	190
45	135
41	120
50	160
31	242
35	310
30	140
40	125
35	120
22	130
39	120
52	130
60	170
50	120
55	120
43	140
52	120
30	145
59	105
32	120
40	155
15	200
40	200
20	185
40	115
40	130
42	140
40	165
52	155
30	140
52	160
25	170
35	140
40	160
35	120
45	110
45	115
53	145
40	140
35	140
42	130
20	120
20	130
38	145
40	170
42	140
45	140
66	135
50	130
45	120
50	130
35	140
55	120
50	110
40	138
45	140
35	170
45	150
30	130
40	140
30	140
15	180
36	125
40	150
55	150
50	145
25	160
40	145
42	130
35	150
42	155
50	146
40	160
40	155
40	150
35	135
43	150
30	145
50	160
45	160
38	162
45	145
25	140
38	150
40	140
35	155
48	135
38	155
35	135
45	120
40	115
59	140
45	145
55	155
38	150
40	120
35	123
50	152
40	145
65	195
60	140
28	130
20	175
40	110
50	135
40	150
50	185
55	175
35	80
39	120
44	40
40	110
40	146
35	77
41	70
25	102
44	60
35	70
45	200
51	90
48	140
55	79
55	95
40	175
42	116
44	100
32	140
45	220
40	55
29	45
22	70
41	90
40	90
30	55
38	76
35	108
31	215
45	130
32	105
32	112
42	100
50	135
33	100
40	115
50	110
70	120
52	115
38	110
48	70
32	95
50	100
45	90
39	10
22	130
26	120
55	100
31	65
48	90
40	290
41	110
45	70
50	120
44	56
45	115
40	70
18	70
31	125
50	138
50	105
50	108
48	75
47	100
45	137
36	130
43	155
45	150
10	220
25	135
50	145
31	122
45	115
51	140
40	132
35	115
42	100
40	136
32	30
55	50
50	60
40	90
38	120
40	90
32	103
51	55
53	88
46	75
32	115
36	115
40	125
45	125
45	100
70	135
42	110
51	130
52	100
52	100
40	160
32	100
42	100
35	80
35	118
38	40
45	90
49	60
45	115
46	95
30	120
45	80
48	75
32	115
39	135
35	115
56	110
55	130
60	125
50	110
55	135
50	120
48	100
42	100
45	115
50	105
25	70
30	115
50	85
30	110
40	110
30	130
58	80
50	100
48	125
35	120
75	140
50	190
35	115
52	120
35	130
40	110
58	105
50	115
44	115
60	105
42	40
40	110
45	120
38	108
35	105
40	100
50	40
40	110
60	100
38	115
57	120
40	140
30	125
45	120
20	100
28	70
35	75
25	150
60	105
40	100
35	100
45	20
40	50
50	120
45	115
45	125
45	110
55	50
35	120
42	135
40	140
32	135
25	75
32	40
40	70
57	145
45	120
44	140
32	135
25	145
45	107
55	100
50	80
33	170
50	120
58	95
55	90
40	100
54	70
55	120
35	100
45	130
32	180
42	120
55	100
45	100
40	85
80	130
54	118
40	115
50	90
70	65
40	95
40	145
48	120
45	145
45	120
75	175
45	155
30	110
65	150
40	180
40	165
50	120
65	175
43	150
50	148
35	175
40	150
35	157
55	95
63	60
25	140
30	100
48	125
21	128
60	145
66	150
65	140
65	160
68	80
45	100
45	170
42	203
35	90
30	105
30	100
30	180
25	145
35	40
28	40
27	130
45	350
60	135
40	140
40	130
35	180
55	110
25	120
30	115
60	135
50	145
40	90
35	120
35	135
42	10
15	125
48	110
53	130
40	145
35	128
58	140
45	130
45	170
20	145
60	200
55	120
50	155
29	190
20	155
49	115
40	104
46	120
27	140
65	120
45	138
42	95
53	200
50	146
20	70
26	140
45	135
40	160
42	125
38	140
65	90
52	133
50	125
42	140
46	165
55	130
38	135
45	145
42	148
42	145
50	150
40	140
50	110
60	105
40	150
58	125
73	125
32	125
62	135
75	160
55	135
70	140
60	168
70	65
70	350
70	5
70	350
80	300
75	300
62	50
70	335
75	335
83	0
68	330
55	12
60	280
63	250
55	330
70	270
65	340
58	325
50	325
55	330
48	315
80	290
60	5
86	290
70	300
55	270
60	20
65	355
50	10
55	345
40	0
70	330
65	300
62	350
74	32
55	10
42	320
52	293
44	305
60	310
65	290
45	330
55	0
52	305
41	310
35	325
45	305
52	325
39	290
53	300
40	335
70	20
55	20
52	10
54	315
55	340
55	330
65	335
45	332
65	320
43	325
55	5
50	320
50	330
62	305
42	290
46	300
45	330
38	280
58	320
60	305
60	290
58	330
85	320
75	355
49	220
50	300
50	305
55	305
65	310
70	300
62	315
55	300
25	285
40	310
45	310
65	350
50	335
58	310
50	320
80	320
70	10
65	300
48	340
60	350
50	320
76	340
60	310
63	305
54	330
70	310
52	340
70	345
65	328
55	300
70	290
60	320
65	320
55	330
45	345
63	332
55	315
55	325
42	320
48	325
54	355
41	330
54	340
60	310
55	295
50	305
50	320
48	310
72	330
35	340
58	300
80	310
45	340
68	330
45	20
41	320
60	310
65	330
45	300
60	320
55	330
58	0
45	330
60	275
48	330
62	220
56	295
55	326
61	260
40	270
75	290
65	255
75	275
50	34
35	295
60	325
48	265
60	290
48	305
31	325
45	285
70	310
81	38
50	240
