// Data set paper: A fuzzy K-Means algorithm based on Fisher distribution for the identification of rock discontinuity sets 


Dip	Direction
86.0	353.0
70.0	349.0
62	339.0
85.0	348.0
73.0	351.0
62.0	347.0
75.0	336.0
76.0	349.0
72.0	335.0
83	337.0
74.0	353.0
77.0	332.0
63.0	346.0
90.0	347.0
73.0	328.0
56.0	327.0
71.0	1.0
88.0	348.0
65.0	339.0
81.0	340.0
87.0	338.0
74.0	339.0
89.0	333.0
87.0	344.0
68.0	324.0
67.0	322.0
59.0	339.0
65.0	327.0
85.0	348.0
71.0	353.0
59.0	333.0
59.0	350.0
88.0	344.0
79.0	347.0
56.0	345.0
75.0	340.0
59.0	312.0
81.0	332.0
65.0	359.0
56.0	343.0
62.0	324.0
51.0	353.0
66.0	334.0
51.0	342.0
63.0	5.0
80.0	341.0
72.0	318.0
62.0	337.0
69.0	347.0
84.0	333.0
72.0	356.0
76.0	343.0
52.0	325.0
65.0	320.0
67.0	328.0
72.0	352.0
79.0	346.0
74.0	345.0
76.0	328.0
70.0	323.0
80.0	353.0
70.0	336.0
74.0	339.0
58.0	351.0
56.0	335.0
69.0	350.0
52.0	343.0
66.0	327.0
59.0	356.0
58.0	338.0
78.0	330.0
71.0	5.0
89.0	337.0
65.0	331.0
69.0	332.0
53.0	5.0
68.0	330.0
82.0	357.0
73.0	356.0
64.0	339.0
62.0	332.0
67.0	354.0
60.0	323.0
74.0	334.0
51.0	326.0
53.0	344.0
70.0	347.0
72.0	334.0
62.0	350.0
70.0	339.0
75.0	350.0
72.0	340.0
90	329.0
62.0	343.0
64.0	326.0
80.0	335.0
72.0	347.0
46.0	330.0
65.0	336.0
73.0	344.0
62.0	349.0
60.0	334.0
72.0	333.0
50.0	320.0
80.0	348.0
90	332.0
73.0	332.0
79.0	324.0
81.0	347.0
69.0	342.0
79.0	341.0
14	358.0
63.0	331.0
75.0	358.0
72.0	360.0
76.0	350.0
89.0	355.0
81.0	343.0
76.0	349.0
87.0	337.0
65.0	13.0
64.0	352.0
83.0	285.0
84.0	284.0
87.0	282.0
67.0	334.0
55.0	332.0
72.0	307.0
83.0	276.0
88.0	283.0
82	299.0
76.0	295.0
81.0	311.0
66.0	285.0
88	293.0
73.0	284.0
79	115
74.0	270.0
87.0	279.0
63.0	295.0
81.0	306.0
80.0	290.0
77.0	322.0
90	279.0
69.0	264.0
79.0	273.0
77	115
90.0	246.0
86.0	274.0
84	112
76.0	288.0
63.0	320.0
59.0	303.0
74	66
90	95
75.0	312.0
89	100
80.0	294.0
82.0	300.0
63.0	306.0
74.0	294.0
49.0	301.0
83.0	272.0
83	99
85.0	285.0
82.0	294.0
85	121
84.0	292.0
88.0	281.0
81	100
85	102
40.0	308.0
76.0	312.0
76.0	255.0
85.0	317.0
75	118
63.0	266.0
86.0	295.0
80.0	279.0
83	99
77.0	268.0
82.0	282.0
90	106
67.0	290.0
46.0	283.0
80	130
86.0	302.0
55.0	281.0
85.0	277.0
77.0	295.0
80	110
84	133
84	110
85	131
76	86
78.0	305.0
78	116
86	103
85	82
69.0	297.0
61.0	282.0
72.0	301.0
80.0	297.0
74.0	318.0
62.0	272.0
72	116
65	78
85.0	278.0
86	81
75	125
49.0	308.0
62.0	189.0
82.0	198.0
56.0	199.0
54.0	192.0
59.0	192.0
63.0	240.0
76.0	229.0
69.0	206.0
64.0	229.0
75.0	209.0
41.0	195.0
74.0	210.0
85.0	216.0
73.0	215.0
71.0	193.0
78.0	192.0
67.0	212.0
81.0	172.0
74.0	222.0
65	34
67.0	196.0
74.0	225.0
83.0	230.0
69.0	199.0
50.0	206.0
65.0	213.0
77.0	219.0
87	32
87	26
58.0	218.0
76.0	193.0
80.0	210.0
59.0	214.0
62.0	211.0
74.0	205.0
71.0	221.0
87	360
59.0	207.0
89.0	202.0
45.0	206.0
58.0	206.0
54.0	224.0
70.0	197.0
62.0	199.0
56.0	204.0
45.0	221.0
61.0	226.0
47.0	201.0
35.0	188.0
51.0	235.0
76.0	198.0
83.0	163.0
84.0	205.0
69.0	174.0
56.0	197.0
85.0	191.0
68.0	227.0
67.0	202.0
73.0	244.0
58.0	222.0
90	37
66.0	219.0
57.0	216.0
22.0	205.0
20.0	159.0
12.0	175.0
50.0	181.0
52.0	243.0
23.0	169.0
21.0	337.0
19.0	282.0
28.0	89.0
22.0	271.0
28.0	153.0
3.0	282.0
56.0	317.0
17.0	55.0
33.0	54.0
11.0	352.0
22.0	91.0
45.0	207.0
8.0	190.0
41.0	63.0
11.0	256.0
32.0	11.0
15.0	22.0
31.0	154.0
26.0	206.0
28.0	3.0
26.0	213.0
11.0	170.0
27.0	239.0
35.0	229.0
40.0	130.0
30.0	25.0
12.0	31.0
49.0	51.0
17.0	174.0
34.0	48.0
20.0	122.0
21.0	204.0
24.0	285.0
11.0	132.0
20.0	23.0
33.0	156.0
10.0	220.0
32.0	104.0
22.0	225.0
29.0	249.0
54.0	172.0
37.0	130.0
13.0	86.0
26.0	188.0
30.0	197.0
40.0	92.0
59.0	194.0
30.0	211.0
12.0	180.0
10.0	87.0
32.0	148.0
24.0	208.0
7.0	101.0
28.0	176.0
22.0	222.0
21.0	179.0
29.0	272.0
45.0	185.0
22.0	6.0
26.0	59.0
3.0	144.0
64.0	192.0
43.0	190.0
25.0	255.0
7.0	37.0
19.0	130.0
51.0	89.0
46.0	210.0
6.0	248.0
43.0	147.0
22.0	99.0
14.0	26.0
18.0	132.0
35.0	185.0
24.0	333.0
37.0	115.0
24.0	208.0
46.0	309.0
25.0	130.0
17.0	142.0
38.0	153.0
18.0	222.0
24.0	247.0
43.0	166.0
18.0	24.0
7.0	175.0
47.0	270.0
63.0	40.0
75.0	33.0
53.0	37.0
72.0	21.0
76.0	35.0
49.0	75.0
62.0	33.0
72.0	42.0
69.0	37.0
73.0	50.0
71.0	37.0
74.0	47.0
62.0	56.0
68.0	33.0
56.0	51.0
66.0	32.0
