
// Data set paper: FFKM: A SOFTWARE FOR AUTOMATIC DISCONTINUITY SET IDENTIFICATION AND STEREOGRAPHIC PROJECTION ANALYSIS


Dip	Direction
25	145
40	35
35	175
56	145
35	135
24	140
35	155
11	225
25	140
45	25
44	160
42	200
25	138
37	150
30	150
35	10
30	160
64	20
55	170
50	125
47	210
56	190
50	185
42	235
45	115
20	170
59	160
22	155
55	150
42	170
35	120
50	175
50	145
35	277
43	187
45	152
52	150
45	150
56	65
35	95
54	120
15	130
10	145
24	55
36	305
26	16
33	132
30	130
21	141
20	145
16	115
15	330
12	10
81	320
73	240
35	0
40	315
71	265
41	310
44	340
34	42
83	340
55	300
40	345
53	30
60	310
54	325
75	335
75	155
62	320
62	180
45	355
55	281
49	30
37	5
39	5
40	70
63	300
42	345
31	340
61	5
57	325
55	350
38	2
42	10
72	52
37	94
64	22
25	340
35	335
38	335
57	335
72	255
26	310
68	310
78	345
55	250
55	135
60	200
55	243
77	130
82	140
61	330
78	155
70	150
64	148
85	240
60	175
70	100
85	40
83	30
76	40
80	30
72	320
85	40
75	195
70	40
62	350
85	220
54	245
70	45
72	45
84	210
38	273
68	105
51	4
80	320
37	275
85	235
76	355
60	225
70	235
65	245
65	77
84	215
56	25
74	260
56	130
84	165
66	25
71	170
86	60
73	40
80	222
70	20
81	190
82	50
89	45
83	165
85	325
84	45
58	113
62	355
85	30
85	55
75	302
83	10
90	59
66	220
